-58, 56, 376
-58, 56, 376
-110, -85, 478
-156, -405, 493
-124, -694, 403
-52, -755, 369
-118, -1030, 592
-194, -1343, 685
-200, -1431, 767
-234, -1522, 949
-260, -1602, 1109
-196, -1522, 1176
-176, -1392, 1312
-232, -1382, 1360
-341, -1536, 1371
-361, -1542, 1307
-229, -1301, 1156
-85, -1031, 1002
21, -879, 830
103, -815, 862
196, -793, 998
196, -793, 998
366, -807, 979
585, -809, 841
816, -753, 879
952, -753, 1095
957, -812, 1142
863, -738, 1171
740, -599, 1141
537, -675, 983
537, -675, 983
243, -796, 905
-21, -635, 1016
-253, -354, 1014
-536, -297, 834
-751, -304, 677
-934, -454, 552
-1103, -693, 511
-1152, -710, 637
-1061, -596, 692
-964, -604, 774
-871, -643, 769
-763, -690, 756
-625, -857, 855
-488, -1074, 916
-532, -1526, 969
-568, -1941, 968
-494, -1998, 1066
-462, -1998, 1150
-462, -1998, 1228
-417, -1994, 1242
-329, -1738, 1208
-242, -1353, 1059
-130, -1012, 825
11, -609, 622
103, -314, 355
103, -314, 355
92, -199, 57
193, 59, -31
279, 220, 8
239, 270, 78
239, 270, 78
131, 183, 105
107, 176, -3
49, 46, -98
49, 46, -98
-35, -190, -156
-44, -275, -119
-33, -276, -16
-90, -421, 30
-,-,-
-182, -1008, -5
-209, -952, -23
-280, -959, 2
-372, -929, 37
-372, -929, 37
-484, -817, 34
-627, -766, -79
-857, -842, -108
-1086, -921, -97
-1182, -902, 0
-1203, -829, 104
-1212, -781, 122
-1209, -803, 79
-1134, -815, 20
-1001, -794, 12
-863, -776, 15
-679, -797, -22
-411, -791, -35
-411, -791, -35
-120, -720, 72
137, -696, 271
310, -835, 550
501, -1003, 822
637, -1130, 830
782, -1160, 774
852, -1146, 725
830, -1099, 621
766, -975, 550
682, -795, 362
682, -795, 362
558, -590, 90
426, -418, -4
314, -279, 21
240, -21, -74
284, 407, -118
284, 407, -118
203, 537, 35
13, 285, 177
-112, -27, 393
-143, -246, 518
-128, -465, 508
-95, -653, 471
-95, -653, 471
-142, -921, 600
-238, -1207, 861
-341, -1518, 1183
-265, -1568, 1112
-195, -1593, 941
-164, -1591, 1060
-166, -1648, 1215
-130, -1661, 1328
-65, -1589, 1383
18, -1431, 1344
89, -1296, 1130
127, -1245, 1028
149, -1220, 1091
241, -1075, 1055
426, -835, 983
684, -699, 769
980, -710, 756
1158, -838, 996
1259, -849, 988
1158, -866, 1067
928, -652, 1395
566, -490, 1527
124, -464, 1407
124, -464, 1407
-211, -410, 1071
-401, -358, 839
-491, -186, 711
-641, -154, 665
-850, -204, 734
-1029, -403, 645
-1163, -712, 490
-1160, -807, 418
-1008, -656, 474
-899, -599, 597
-815, -626, 678
-738, -705, 752
-695, -949, 765
-653, -1219, 765
-645, -1566, 791
-629, -1901, 930
-593, -1998, 956
-575, -1998, 1005
-491, -1998, 1035
-355, -1998, 1051
-269, -1913, 1074
-177, -1559, 989
